cell_type,sides
AVLP494,L|R
AVLP496,L|R
AVLP497,L|R
AVLP498,L|R
AVLP500,L|R
AVLP501,L|R
AVLP502,L|R
AVLP503,L|R
AVLP504,L|R
AVLP505,L|R
AVLP506,L|R
AVLP507,L|R
AVLP508,L|R
AVLP509,L|R
AVLP511,L|R
AVLP517,L|R
AVLP519,L|R
AVLP520,L|R
AVLP521,L|R
AVLP522,L|R
AVLP523,L|R
AVLP524_b,L|R
AVLP525,L|R
AVLP526,L|R
AVLP527,L|R
AVLP529,L|R
AVLP530,L|R
AVLP531,L|R
AVLP532,L|R
AVLP533,L|R
AVLP534,L|R
AVLP535,L|R
AVLP536,L|R
AVLP537,L|R
AVLP538,L|R
AVLP539,L|R
AVLP541,L|R
AVLP542,L|R
AVLP543,L|R
AVLP544,L|R
AVLP545,L|R
AVLP546,L|R
AVLP547,L|R
AVLP548_a,L|R
AVLP548_b,L|R
AVLP548_c,L|R
AVLP548_d,L|R
AVLP548_e,L|R
AVLP548_f1,L|R
AVLP548_f2,L|R
AVLP548_g1,L|R
AVLP548_g2,L|R
AVLP549,L|R
AVLP550_a,L|R
AVLP550_b,L|R
AVLP550b,L|R
AVLP551,L|R
AVLP552,L|R
AVLP555,L|R
AVLP557,L|R
AVLP558,L|R
AVLP559,L|R
AVLP560,L|R
AVLP562,L|R
AVLP563,L|R
AVLP565,L|R
AVLP566,L|R
AVLP570,L|R
AVLP571,L|R
AVLP572,L|R
AVLP573,L|R
AVLP574,L|R
AVLP575,L|R
AVLP576,L|R
AVLP577,L|R
AVLP578,L|R
AVLP579,L|R
AVLP580,L|R
AVLP584,L|R
AVLP586,L|R
AVLP590,L|R
AVLP591,L|R
AVLP592,L|R
AVLP593,L|R
AVLP594,L|R
AVLP595,L|R
AVLP596,L|R
AVLP597,L|R
AVLP598,L|R
AVLP599,L|R
AVLP600,L|R
AVLP601,L|R
AVLP604,L|R
AVLP608,L|R
AVLP609,L|R
AVLP610,L|R
AVLP611,L|R
AVLP612,L|R
AVLP613,L|R
AVLP614,L|R
AVLP615,L|R
AVLP700m,L|R
AVLP702m,L|R
AVLP703m,L|R
AVLP704m,L|R
AVLP705m,L|R
AVLP706m,L|R
AVLP708m,L|R
AVLP709m,L|R
AVLP710m,L|R
AVLP711m,L|R
AVLP712m,L|R
AVLP713m,L|R
AVLP714m,L|R
AVLP715m,L|R
AVLP716m,L|R
AVLP717m,L|R
AVLP718m,L|R
AVLP719m,L|R
AVLP720m,L|R
AVLP721m,L|R
AVLP722m,L|R
AVLP723m,L|R
AVLP724m,L|R
AVLP725m,L|R
AVLP727m,L|R
AVLP728m,L|R
AVLP729m,L|R
AVLP730m,L|R
AVLP731m,L|R
AVLP732m,L|R
AVLP733m,L|R
AVLP734m,L|R
AVLP735m,L|R
AVLP736m,L|R
AVLP737m,L|R
AVLP738m,L|R
AVLP739m,L|R
AVLP742m,L|R
AVLP743m,L|R
AVLP744m,L|R
AVLP745m,L|R
AVLP746m,L|R
AVLP748m,L|R
AVLP749m,L|R
AVLP750m,L|R
AVLP751m,L|R
AVLP752m,L|R
AVLP753m,L|R
AVLP755m,L|R
AVLP757m,L|R
AVLP758m,L|R
AVLP760m,L|R
AVLP761m,L|R
AVLP762m,L|R
AVLP763m,L|R
AVLP764m,L|R
Acc. ti flexor MN,L|R
Acc. tr flexor MN,L|R
Am1,L|R
AstA1,L|R
BM,L|R
BM_Hau,L|R
BM_InOm,L|R
BM_MaPa,L|R
BM_Taste,L|R
BM_Vib,L|R
BM_Vt_PoOc,L|R
BM_dOcci,BM_dPoOr,L|R
BM_vOcci_vPoOr,L|R
BiT,L|R
C2,L|R
C3,L|R
CAPA,L|R
CB0024,L|R
CB0029,L|R
CB0046,L|R
CB0050,CB0064,L|R
CB0061,L|R
CB0079,L|R
CB0084,L|R
CB0090,L|R
CB0115,L|R
CB0121,L|R
CB0122,L|R
CB0128,L|R
CB0140,L|R
CB0141,L|R
CB0142,L|R
CB0164,L|R
CB0194,L|R
CB0197,L|R
CB0204,L|R
CB0214,L|R
CB0218,L|R
CB0221,L|R
