family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
CB2655,central,2,2,0.05018735381747215,0.32139502478986354,3.1516406536102295
LMTe01,visual_projection,2,2,0.2366715397912,0.320891345057345,1.6497656106948853
CB2856,central,2,2,0.9577162590671525,0.3208010087987836,0.28382813930511475
PVLP088,central,3,2,0.24064069583610767,0.3199316535358801,5.104973793029785
AVLP584,central,2,3,0.8043014045903565,0.3197809024170421,0.5767186880111694
AN_GNG_SAD_34,ascending,2,2,0.700648338783584,0.31745450180135343,0.3089062571525574
CB2576,central,2,2,-0.157226392416542,0.3171466025929859,1.095546841621399
CB2336,central,2,2,0.7933536643544263,0.316496815483345,0.6635937690734863
CB2136,central,3,3,-0.5419191039651551,0.3162188799120511,0.23010404407978058
CB2140,central,2,2,0.020858679771086765,0.31606414497551594,0.823046863079071
CB1072,central,7,5,0.73830846515755,0.31529437187036763,0.7399376034736633
AN_AVLP_27,ascending,2,2,-0.2440254024945282,0.31425769255041497,3.0411717891693115
CB3486,central,3,3,0.4297496605946137,0.3119975865621346,2.7826039791107178
CB1380,central,4,4,-0.3285778696741576,0.3119466924545794,0.14210937917232513
AVLP570,central,2,2,0.6909823285657016,0.31167056274748645,0.2943750023841858
LPC2,visual_projection,54,62,-0.13672830522364232,0.3107524757452687,0.9429779648780823
CB2633,central,2,2,0.7497099952579132,0.3099874830152991,1.048671841621399
AVLP136,central,2,2,0.46551329742475306,0.3098022217719761,1.3077343702316284
PVLP111,central,5,5,0.32540421095285965,0.30939094331617456,1.555843710899353
CB1528,central,3,3,0.10876581658782619,0.3092613130421163,1.572135329246521
WED026,central,5,4,0.5853509224058937,0.3091039625975666,0.4600389897823334
LT51,visual_projection,12,12,0.5097488072053925,0.30778047098147165,3.2315752506256104
CB1385,central,2,2,-0.18866450995425388,0.3075688406548022,0.33406248688697815
AVLP380b,central,2,2,0.47823022118037334,0.3072425894083557,2.0718750953674316
AN_AVLP_45,ascending,3,3,0.31524071473411913,0.3066333407930386,0.10296888649463654
CB1662,central,3,2,-0.05507011130940385,0.3047383229808966,0.8626042008399963
CB1422,central,3,3,0.25918881476525457,0.30456360815745026,0.57380211353302
SAD012,central,2,2,0.3389989936610524,0.3038245143968455,0.12070312350988388
CB1844,central,3,3,0.44485552449485544,0.30333770810121824,0.47885435819625854
CB1809,central,4,3,0.38047819315388254,0.3027413087207544,0.42721349000930786
SAD049,central,2,2,0.09392095541977039,0.3004115224467527,4.206796646118164
CB2392,central,3,4,0.10450593554025053,0.3002386455747505,0.40158867835998535
CB2449,central,4,2,0.38008779633092643,0.30007132098555217,0.1674218773841858
CB2108,central,6,8,0.3144379826425814,0.2987982117532058,0.14432281255722046
CL340,central,2,2,0.8605663675136197,0.29577006568964237,0.8793749809265137
WED114,central,4,3,0.7652671283954345,0.29560697100845756,2.446718692779541
CB1110,central,3,2,0.7698483383966659,0.2950201910791041,2.507734775543213
CB2512,central,2,2,0.06338601340405932,0.29410286694027904,4.260546684265137
AN_GNG_SPS_1,ascending,2,2,0.7337822048059098,0.2923595528039943,0.047343749552965164
CB2826,central,2,2,0.6415132565987379,0.29169967048914913,0.21328124403953552
AOTU041,central,2,2,0.6534883038818017,0.289975081287894,6.881640434265137
CB2187,central,3,3,0.2959185025630242,0.2898499208639638,0.23963533341884613
LHPV5g2,central,3,3,0.6767884243021484,0.2890118070628109,0.3030208647251129
CL086_e,central,4,4,0.3900688466308629,0.28888136224396666,1.2610937356948853
PS292,central,2,2,0.02661712692579612,0.2880787470987871,1.5517187118530273
CB2899,central,2,2,-0.2525201742988649,0.28757578224096236,1.0932812690734863
"LAL104,LAL105",central,2,2,0.3211069602748765,0.2875331799653967,2.145703077316284
CB2696,central,2,2,-0.25585585258002896,0.2871461217915048,0.7323437333106995
CB1399,central,3,3,0.022951900562208284,0.28714345082885434,1.348073124885559
AN_multi_124,ascending,3,7,0.2881200566218053,0.2868582357700833,0.9184301495552063
CB1889,central,3,2,0.48944659304116045,0.28613527327513183,0.73744797706604
CB2396,central,2,3,0.1256576292800112,0.286112820290843,2.1413800716400146
CB1463,central,2,2,0.08325782478112449,0.28445024766550037,0.5563281178474426
CB3118,central,4,2,-0.15358355137408344,0.2839123392922536,0.10207030922174454
LC43,visual_projection,6,6,0.01176251917527541,0.2833736902861317,2.0846352577209473
"WED102,WED103",central,8,9,-0.1421511941073329,0.2825168155854059,0.4461110830307007
CB1904,central,2,4,0.7000694541274711,0.28113420353731716,0.1915625035762787
AN_AVLP_54,ascending,2,2,0.3757504091847155,0.281061300504306,1.7707030773162842
VES024,central,2,2,0.45387766998009443,0.28072433725627,0.5032031536102295
PVLP008,central,15,14,-0.02201998391703341,0.2795403589313357,0.7946014404296875
CB0982,central,4,4,0.5547496025945213,0.2794180345570699,0.31757813692092896
SMP572,central,2,2,0.41698523536349064,0.27909893495867144,0.14210937917232513
CB2545,central,2,3,0.683239022040031,0.27675459677759706,0.96966153383255
CL169,central,3,3,0.4324772973431498,0.2762883813721449,0.19645832479000092
CB1063,central,2,2,0.8139718242236045,0.2757829615551789,0.22929687798023224
AOTU052,central,3,4,-0.5917416696540228,0.27546829944626017,3.520052194595337
"(SLP402,SMP426)c",central,2,2,0.3983163218427946,0.27496911333249846,2.108515739440918
AN_AVLP_48,ascending,3,6,0.3185748689489096,0.27361106113039757,0.037317827343940735
CB3860,central,3,2,0.6822037509847269,0.2716223724704713,0.6220573782920837
